,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,United Nations,,,,,,,
,,,,Population Division,,,,,,,
,,,,Department of Economic and Social Affairs,,,,,,,
,,,,,,,,,,,
,,,,Workbook: UN_MigrantStock_2017.xls,,,,,,,
,,,,"Table 4 - Female migrants as a percentage of the international migrant stock by major area, region, country or area, 1990-2017",,,,,,,
,,,,,,,,,,,
,,,,December 2017 - Copyright © 2017 by United Nations. All rights reserved,,,,,,,
,,,,"Suggested citation: United Nations, Department of Economic and Social Affairs. Population Division (2017). Trends in International Migrant Stock: The 2017 revision (United Nations database, POP/DB/MIG/Stock/Rev.2017).",,,,,,,
,,,,,,,,,,,
"Sort
order","Major area, region, country or area of destination",Notes,Code,Type of data (a),Female migrants as a percentage of the international migrant stock,,,,,,
,,,,,1990,1995,2000,2005,2010,2015,2017
1,WORLD,,900,,49.2,49.3,49.3,48.9,48.4,48.5,48.4
2,More developed regions,b,901,,51.1,51.1,51.1,51.1,51.5,51.9,51.8
3,Less developed regions,c,902,,47.0,46.9,46.6,45.6,43.8,44.0,43.9
4,Least developed countries,d,941,,49.8,50.1,50.0,49.1,50.0,50.2,50.4
5,"Less developed regions, excluding least developed countries",,934,,46.5,46.3,46.0,45.1,43.0,43.1,42.9
6,High-income countries,e,1503,,48.4,48.8,49.0,48.6,47.9,47.9,47.7
7,Middle-income countries,e,1517,,50.0,49.9,49.6,49.4,49.0,49.3,49.3
8,Upper-middle-income countries,e,1502,,49.3,49.3,49.0,49.1,48.5,48.8,48.8
9,Lower-middle-income countries,e,1501,,50.7,50.6,50.4,49.8,49.7,50.0,50.0
10,Low-income countries,e,1500,,50.0,50.6,50.5,49.6,50.8,50.8,50.9
11,Sub-Saharan Africa,f,947,,47.3,47.6,47.4,46.4,47.0,47.6,47.8
12,AFRICA,,903,,47.2,47.3,46.9,45.6,46.2,46.9,47.1
13,Eastern Africa,,910,,48.5,48.5,48.8,46.7,49.2,49.9,50.1
14,Burundi,,108,B R,51.0,51.3,51.4,50.9,50.8,50.7,50.7
15,Comoros,,174,B,52.3,52.6,52.8,52.4,52.0,51.6,51.6
16,Djibouti,,262,B R,47.4,47.4,47.3,44.3,47.5,47.4,47.4
17,Eritrea,,232,I,47.4,47.2,47.1,46.0,45.1,44.6,44.6
